MVM_PRSCRPTN_CN
"준비운동:등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,허리 스트레칭,배스트레칭 / 본운동:앉았다 일어서면서 점프하기,팔벌려뛰기,버피운동,점프 팔굽혀펴기 / 정리운동:엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭"
준비운동:옆으로 누워서팔 앞으로 당기기
"준비운동:걷기,달리기,실내 자전거타기,줄넘기"
"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:앉았다 일어서기,턱걸이,바벨 끌어당기기,트레드밀에서 걷기,계단 올라갔다 내려오기,수영 / 정리운동:전신 루틴 스트레칭"
"준비운동:목 스트레칭,가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭 / 본운동:달리기,실내 자전거타기,계단 올라갔다 내려오기,앉았다 일어서기,몸통 옆으로 굽히기,윗몸올리기 ,버피운동 / 정리운동:허리 스트레칭,배스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭"
"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:누워서 배가로근 수축 II,누워서 다리 들어올리기,누워서 팔 다리 동시에 들어올리기,트레드밀에서 걷기,줄넘기 / 정리운동:하지 루틴 스트레칭2"
"준비운동:전신 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭,짐볼을 이용한 동적 루틴 스트레칭,자가근막이완술 루틴 스트레칭 / 본운동:실내 자전거타기,트레드밀에서 걷기,앉았다 일어서면서 점프하기,무릎 높여 제자리 달리기,누워서 배가로근 수축 II,한발 앞으로 내밀고 앉았다 일어서기 / 정리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,자가근막이완술 루틴 스트레칭"
"준비운동:유산소 운동 전 동적 루틴 스트레칭,자가근막이완술 루틴 스트레칭 / 본운동:달리기,실내 자전거타기,줄넘기,수영,맨몸운동  루틴프로그램,웨이트 트레이닝  루틴프로그램,저항밴드 운동  루틴프로그램,계단 두 칸씩 뛰기 / 정리운동:하지 루틴 스트레칭2,상지 루틴 스트레칭"
"준비운동:엉덩이 스트레칭,종아리 스트레칭 / 본운동:짐볼 들고 양옆으로 돌리기,의자에 앉아 볼 돌리기,앉아서 밴드 잡고 몸통 돌리기,고정식 자전거 타기,스텝박스 / 정리운동:허리 스트레칭,배 스트레칭,어깨 스트레칭"
"준비운동:걷기,밴드잡고 머리 위에서 팔꿈치 펴기 / 본운동:달리기,엎드려 무릎 연속 차기,윗몸 일으키기 / 정리운동:정적 스트레칭  루틴프로그램"
"준비운동:의자 잡고 전방으로 무릎 굽혀 들기,의자 이용 중심 잡기 루틴 운동"
"준비운동:전신 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:달리기,앉았다 일어서면서 점프하기,맨몸운동  루틴프로그램,무릎 높여 제자리 달리기,웨이트 트레이닝  루틴프로그램 / 정리운동:상체 앞으로 숙이기,한쪽 다리펴고 상체 숙이기"
"준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭 / 본운동:걷기,달리기,실내 자전거타기,트레드밀에서 걷기 / 정리운동:허리 스트레칭,배스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭"
"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:누워서 배가로근 수축 II,턱걸이,엎드려서 다리 차올리기,엎드려 버티기,수영 / 정리운동:하지 루틴 스트레칭2,상지 루틴 스트레칭"
"준비운동:하지 루틴 스트레칭1,상지 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸올리기 ,엎드려 버티기,옆으로 누워 버티기,누워서 다리 들어올리기,달리기,트레드밀에서 걷기,수영 / 정리운동:걷기"
준비운동:진자운동
"준비운동:등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,허리 스트레칭,배스트레칭 / 본운동:팔벌려뛰기,계단 뛰어 오르기,달리기,매달려서 다리 들기,버피운동,서서 뒤꿈치 들기 / 정리운동:엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭"
"본운동:스텝퍼 뛰어서 넘어가기,스텝퍼 옆으로 뛰어넘기,앉았다 일어서면서 점프하기,버피운동"
준비운동:진자운동
"준비운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,전신 루틴 스트레칭 / 본운동:앉았다 일어서기,턱걸이,팔굽혀펴기,바벨들어올리기,달리기,실내 자전거타기,수영 / 정리운동:자가근막이완술 루틴 스트레칭"
"준비운동:종아리 스트레칭,몸통 비틀기,의자 이용 중심 잡기 루틴 운동 / 본운동:덤벨 잡고 한발 내밀어 굽혔다 펴기,몸통 들어올리기,덤벨 잡고 앉았다 일어서기,덤벨 잡고 뒤꿈치 들기,고정식 트레드밀에서 걷기,고정식 자전거 타기,물속에서 걷기 / 정리운동:대퇴사두근 스트레칭,발가락 폄근 스트레칭,비복근 스트레칭"
"준비운동:앉아서 다리 올리기,앉아서 무릎 굽히기,한 발 들어올리기,한 발 끌어당기기"
"준비운동:고정식 자전거 타기,스텝박스,스텝박스 오르내리기  / 본운동:앉아서 다리 펴기,엎드려서 다리 굽히기 ,앉아서 다리 밀기 ,밴드 머리 뒤로 들어올리기 / 정리운동:대퇴이두근 스트레칭,대퇴사두근 스트레칭,엉덩이 스트레칭2,종아리 스트레칭"
"준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭 / 본운동:넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭,하지 루틴 스트레칭1"
"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:달리기,계단 뛰어 오르기 / 정리운동:하지 루틴 스트레칭1"
"준비운동:걷기,조깅,자전거타기,줄넘기 운동,목 당기기,목 스트레칭,겨드랑이 늘리기,팔 당기기 / 본운동:손 뻗어 윗몸 일으키기,앉아서 몸통 움츠리기,상체 감아올리기,누워 다리 들어올리기,척추 들어올리기,몸통 비틀기,물고기 자세 / 정리운동:다리뻗어 상체 숙이기,양발 교차하여 서서 몸통 숙이기,전진 점프하며 발 뒤꿈치 찍기,상체 앞으로 숙이기"
"준비운동:넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭,하지 루틴 스트레칭1 / 본운동:계단 올라갔다 내려오기,한발 앞으로 내밀고 앉았다 일어서기,의자에 앉아 다리 뻗어 올리기,앉아서 엉덩관절 굽히기 / 정리운동:유산소 운동 전 동적 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭"
"준비운동:고정식 트레드밀에서 걷기,고정식 자전거 타기,스텝박스 / 본운동:앉아서 다리 펴기,엎드려서 다리 굽히기 ,앉아서 다리 밀기  / 정리운동:고관절 스트레칭,대퇴이두근 스트레칭2,엉덩이 스트레칭"
"본운동:누워서 배가로근 수축 I,누워서 배가로근 수축 II,매달려서 다리 들기,윗몸 말아 올리기"
"본운동:누워서 배가로근 수축 II,윗몸 말아 올리기"
준비운동:진자운동
"준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭 / 본운동:걷기,달리기,실내 자전거타기,트레드밀에서 걷기 / 정리운동:허리 스트레칭,배스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭"
